policy,accuracy,avg_cost,utility,regret,route_acc,group,models,seed
correctness_extra_trees,0.934010152284264,6.1083e-05,0.934010152284264,0.025380710659898477,0.49238578680203043,llama_deepseek,"llama_70b,deepseek_v3",217
correctness_tfidf_logistic,0.9187817258883249,6.150556852791878e-05,0.9187817258883249,0.04060913705583756,0.37055837563451777,llama_deepseek,"llama_70b,deepseek_v3",217
always_llama_70b,0.9035532994923858,5.689464974619289e-05,0.9035532994923858,0.05583756345177665,0.9441624365482234,llama_deepseek,"llama_70b,deepseek_v3",218
always_deepseek_v3,0.9086294416243654,7.092621319796955e-05,0.9086294416243654,0.050761421319796954,0.05583756345177665,llama_deepseek,"llama_70b,deepseek_v3",218
oracle,0.9593908629441624,5.765295431472081e-05,0.9593908629441624,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",218
random,0.8984771573604061,6.091680710659897e-05,0.8984771573604061,0.06091370558375635,0.5177664974619289,llama_deepseek,"llama_70b,deepseek_v3",218
correctness_logistic,0.9086294416243654,6.161439593908628e-05,0.9086294416243654,0.050761421319796954,0.39593908629441626,llama_deepseek,"llama_70b,deepseek_v3",218
correctness_random_forest,0.9035532994923858,5.876508629441624e-05,0.9035532994923858,0.05583756345177665,0.39593908629441626,llama_deepseek,"llama_70b,deepseek_v3",218
correctness_extra_trees,0.9035532994923858,6.197640609137056e-05,0.9035532994923858,0.05583756345177665,0.41624365482233505,llama_deepseek,"llama_70b,deepseek_v3",218
correctness_tfidf_logistic,0.9086294416243654,6.2512730964467e-05,0.9086294416243654,0.050761421319796954,0.3604060913705584,llama_deepseek,"llama_70b,deepseek_v3",218
always_llama_70b,0.9035532994923858,5.302963959390863e-05,0.9035532994923858,0.05583756345177665,0.9441624365482234,llama_deepseek,"llama_70b,deepseek_v3",219
always_deepseek_v3,0.8883248730964467,7.003374619289339e-05,0.8883248730964467,0.07106598984771574,0.05583756345177665,llama_deepseek,"llama_70b,deepseek_v3",219
oracle,0.9593908629441624,5.431219289340101e-05,0.9593908629441624,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",219
random,0.8883248730964467,6.054559898477157e-05,0.8883248730964467,0.07106598984771574,0.49746192893401014,llama_deepseek,"llama_70b,deepseek_v3",219
correctness_logistic,0.9238578680203046,6.532649746192894e-05,0.9238578680203046,0.03553299492385787,0.4517766497461929,llama_deepseek,"llama_70b,deepseek_v3",219
correctness_random_forest,0.8984771573604061,6.484480203045685e-05,0.8984771573604061,0.06091370558375635,0.4263959390862944,llama_deepseek,"llama_70b,deepseek_v3",219
correctness_extra_trees,0.9035532994923858,6.488294923857867e-05,0.9035532994923858,0.05583756345177665,0.5076142131979695,llama_deepseek,"llama_70b,deepseek_v3",219
correctness_tfidf_logistic,0.9238578680203046,6.449529441624365e-05,0.9238578680203046,0.03553299492385787,0.4467005076142132,llama_deepseek,"llama_70b,deepseek_v3",219
always_llama_70b,0.8883248730964467,5.3722385786802025e-05,0.8883248730964467,0.06091370558375635,0.9390862944162437,llama_deepseek,"llama_70b,deepseek_v3",220
always_deepseek_v3,0.9035532994923858,6.899011167512691e-05,0.9035532994923858,0.04568527918781726,0.06091370558375635,llama_deepseek,"llama_70b,deepseek_v3",220
oracle,0.949238578680203,5.420775634517767e-05,0.949238578680203,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",220
random,0.883248730964467,6.29295888324873e-05,0.883248730964467,0.06598984771573604,0.4263959390862944,llama_deepseek,"llama_70b,deepseek_v3",220
correctness_logistic,0.9289340101522843,6.266962944162437e-05,0.9289340101522843,0.02030456852791878,0.5329949238578681,llama_deepseek,"llama_70b,deepseek_v3",220
correctness_random_forest,0.9137055837563451,6.310551776649746e-05,0.9137055837563451,0.03553299492385787,0.467005076142132,llama_deepseek,"llama_70b,deepseek_v3",220
correctness_extra_trees,0.9086294416243654,6.482409644670051e-05,0.9086294416243654,0.04060913705583756,0.4416243654822335,llama_deepseek,"llama_70b,deepseek_v3",220
correctness_tfidf_logistic,0.9137055837563451,6.4645730964467e-05,0.9137055837563451,0.03553299492385787,0.4619289340101523,llama_deepseek,"llama_70b,deepseek_v3",220
always_llama_70b,0.8984771573604061,5.3393e-05,0.8984771573604061,0.06091370558375635,0.9390862944162437,llama_deepseek,"llama_70b,deepseek_v3",221
always_deepseek_v3,0.934010152284264,6.974081218274113e-05,0.934010152284264,0.025380710659898477,0.06091370558375635,llama_deepseek,"llama_70b,deepseek_v3",221
oracle,0.9593908629441624,5.4611568527918776e-05,0.9593908629441624,0.0,1.0,llama_deepseek,"llama_70b,deepseek_v3",221
random,0.8984771573604061,5.936768020304568e-05,0.8984771573604061,0.06091370558375635,0.5025380710659898,llama_deepseek,"llama_70b,deepseek_v3",221
correctness_logistic,0.934010152284264,6.223816243654822e-05,0.934010152284264,0.025380710659898477,0.49238578680203043,llama_deepseek,"llama_70b,deepseek_v3",221
correctness_random_forest,0.9187817258883249,6.182377157360406e-05,0.9187817258883249,0.04060913705583756,0.467005076142132,llama_deepseek,"llama_70b,deepseek_v3",221
correctness_extra_trees,0.9289340101522843,6.19334923857868e-05,0.9289340101522843,0.030456852791878174,0.4873096446700508,llama_deepseek,"llama_70b,deepseek_v3",221
